filename,M,N,K,batch,tuning_folder_path,proxy_shapes
fused_op_bmm_05f21105614045806c58050c425add3941910f7c_32x21x96xbfloat16_32x96x96xbfloat16.mlir,21,96,96,32,,"aten::bmm '[[32, 21, 96], [32, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2016, 96, 1], [9216, 1, 96]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_06f58890318b4523f79108fc7f7c985a7e5b7a3e_672x3x25000xfloat64_672x3x3xfloat64.mlir,25000,3,3,672,,"aten::bmm '[[672, 25000, 3], [672, 3, 3]]' '['""'""'float'""'""', '""'""'float'""'""']' '[[75000, 1, 25000], [9, 1, 3]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_1cafd6d3b3dde335252db1830887f64a19bf9d5e_10x96x96xbfloat16_10x96x96xbfloat16.mlir,96,96,96,10,,"aten::bmm '[[10, 96, 96], [10, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9216, 96, 1], [9216, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_1f4b1423e76aefdde491b1dadd30df7ef66a5a40_85x3x3xfloat64_85x3x2304xfloat64.mlir,3,2304,3,85,,"aten::bmm '[[85, 3, 3], [85, 3, 2304]]' '['""'""'float'""'""', '""'""'float'""'""']' '[[9, 3, 1], [6912, 2304, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_2987a68d37bf95b02453b47ae8260f9b3bc4ea35_10x96x21xbfloat16_10x21x96xbfloat16.mlir,96,96,21,10,,"aten::bmm '[[10, 96, 21], [10, 21, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2016, 21, 1], [2016, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_36f300f3622ff36d3c37c21aa230efb3458148b2_32x96x21xbfloat16_32x21x96xbfloat16.mlir,96,96,21,32,,"aten::bmm '[[32, 96, 21], [32, 21, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2016, 21, 1], [2016, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_3d800a306f540b5ec44cd8d4c3b08890d8109e8f_5x384x192xbfloat16_5x384x384xbfloat16.mlir,192,384,384,5,,"aten::bmm '[[5, 192, 384], [5, 384, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[73728, 1, 192], [147456, 384, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_486d72565669702e4ff199fa22f699f0a931b1c0_5x384x192xbfloat16_5x192x384xbfloat16.mlir,384,384,192,5,,"aten::bmm '[[5, 384, 192], [5, 192, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[73728, 192, 1], [0, 1, 192]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_4fbbdceed471a115ccc4d4c1211894a5a60a8961_10x96x96xbfloat16_10x96x96xbfloat16.mlir,96,96,96,10,,"aten::bmm '[[10, 96, 96], [10, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9216, 96, 1], [9216, 1, 96]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_58e6f2010c60fa7081c48810b3d6746d6901681c_5x384x192xbfloat16_5x384x192xbfloat16.mlir,384,384,192,5,,"aten::bmm '[[5, 384, 192], [5, 192, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[73728, 192, 1], [73728, 1, 192]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_5ce287778f1fa17f3aa7dd2cd6ee7a47ce8c5a56_10x96x21xbfloat16_10x21x96xfloat64.mlir,96,96,21,10,,"aten::bmm '[[10, 96, 21], [10, 21, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'float'""'""']' '[[2016, 21, 1], [2016, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_5e377616675d92553739036a8770183898458c26_32x96x21xbfloat16_32x21x96xfloat64.mlir,96,96,21,32,,"aten::bmm '[[32, 96, 21], [32, 21, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'float'""'""']' '[[2016, 21, 1], [2016, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_638406efd351c3d3255e9c5b9c73b5a8343b97a7_32x96x21xbfloat16_32x96x96xbfloat16.mlir,21,96,96,32,,"aten::bmm '[[32, 21, 96], [32, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2016, 1, 21], [9216, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_65b38131d28a00193187ca5244d4b1feba490812_5x384x384xbfloat16_5x384x192xbfloat16.mlir,384,192,384,5,,"aten::bmm '[[5, 384, 384], [5, 384, 192]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[147456, 384, 1], [0, 192, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_6e681fd7acb32ed9dd3e3e9fe55620ea35b6a697_128x3x3xfloat64_128x3x2304xfloat64.mlir,3,2304,3,128,,"aten::bmm '[[128, 3, 3], [128, 3, 2304]]' '['""'""'float'""'""', '""'""'float'""'""']' '[[9, 3, 1], [6912, 2304, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_70dea66c9f7a1534f8fc8ed293ed33c5629a11ff_16x384x192xbfloat16_16x384x384xbfloat16.mlir,192,384,384,16,,"aten::bmm '[[16, 192, 384], [16, 384, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[73728, 1, 192], [147456, 384, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_7214ee4e58801d7ac85c7b1d0ab51cefd28f2942_85x3x3xfloat64_85x3x1152xfloat64.mlir,3,1152,3,85,,"aten::bmm '[[85, 3, 3], [85, 3, 1152]]' '['""'""'float'""'""', '""'""'float'""'""']' '[[9, 3, 1], [3456, 1152, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_76bcb0369c80bd47209dd6649b6891be538b8e29_32x96x96xbfloat16_32x96x96xbfloat16.mlir,96,96,96,32,,"aten::bmm '[[32, 96, 96], [32, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9216, 96, 1], [9216, 1, 96]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_81ab18088d833565838d0e0d53e4dc53dd9323af_32x96x96xbfloat16_32x96x96xfloat64.mlir,96,96,96,32,,"aten::bmm '[[32, 96, 96], [32, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'float'""'""']' '[[9216, 96, 1], [9216, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_822c75e8759e28467dcd26177f663f5e97bee433_10x96x96xbfloat16_10x96x96xbfloat16.mlir,96,96,96,10,,"aten::bmm '[[10, 96, 96], [10, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9216, 1, 96], [9216, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_867027adba2210eaaafe9656e1c0693cb4700389_16x384x192xbfloat16_16x384x384xbfloat16.mlir,192,384,384,16,,"aten::bmm '[[16, 192, 384], [16, 384, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[73728, 1, 192], [147456, 1, 384]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_8a0c2f7a3337d62e063911b1c6e2fd0f6cd12b32_32x96x96xbfloat16_32x21x96xbfloat16.mlir,96,21,96,32,,"aten::bmm '[[32, 96, 96], [32, 96, 21]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9216, 96, 1], [2016, 1, 96]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_978b55912d4a624daffa03c44380d51dd0070ba7_10x96x96xbfloat16_10x21x96xbfloat16.mlir,96,21,96,10,,"aten::bmm '[[10, 96, 96], [10, 96, 21]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9216, 96, 1], [2016, 1, 96]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_ade58bb4242d062b0b36b52df64d22af7966de10_5x384x192xbfloat16_5x384x384xbfloat16.mlir,192,384,384,5,,"aten::bmm '[[5, 192, 384], [5, 384, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[73728, 1, 192], [147456, 1, 384]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_b21220d946993a25a410fae20612583520a9fe77_32x96x96xbfloat16_32x96x96xbfloat16.mlir,96,96,96,32,,"aten::bmm '[[32, 96, 96], [32, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9216, 1, 96], [9216, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_b3ae815a4656f94530c1aca3cd9175770f9d18a4_16x384x192xbfloat16_16x192x384xbfloat16.mlir,384,384,192,16,,"aten::bmm '[[16, 384, 192], [16, 192, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[73728, 192, 1], [0, 1, 192]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_b9f10f0c0e974467491a6403f38cdbd91b7d5b31_16x384x192xbfloat16_16x384x192xbfloat16.mlir,384,384,192,16,,"aten::bmm '[[16, 384, 192], [16, 192, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[73728, 192, 1], [73728, 1, 192]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_bac1476a6d834857fac201401bc26e7cde63b39f_10x96x96xbfloat16_10x96x96xfloat64.mlir,96,96,96,10,,"aten::bmm '[[10, 96, 96], [10, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'float'""'""']' '[[9216, 96, 1], [9216, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_c657084e30060190783ba0a59fe465def43d391a_16x384x384xbfloat16_16x384x192xbfloat16.mlir,384,192,384,16,,"aten::bmm '[[16, 384, 384], [16, 384, 192]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[147456, 384, 1], [0, 192, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_cd2c01531f6bc12976a4418ee3511a3c781328f3_128x3x3xfloat64_128x3x1152xfloat64.mlir,3,1152,3,128,,"aten::bmm '[[128, 3, 3], [128, 3, 1152]]' '['""'""'float'""'""', '""'""'float'""'""']' '[[9, 3, 1], [3456, 1152, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_cff4ced8a652d687e785168b5b3760dfb6845086_10x21x96xbfloat16_10x96x96xbfloat16.mlir,21,96,96,10,,"aten::bmm '[[10, 21, 96], [10, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2016, 96, 1], [9216, 1, 96]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_f3c8db517e88eb479a9fdd96348cdca14599dd89_32x96x96xbfloat16_32x96x96xbfloat16.mlir,96,96,96,32,,"aten::bmm '[[32, 96, 96], [32, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9216, 96, 1], [9216, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_fc852d3154440eb01dc15cf4397fba00e5d006e9_10x96x21xbfloat16_10x96x96xbfloat16.mlir,21,96,96,10,,"aten::bmm '[[10, 21, 96], [10, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2016, 1, 21], [9216, 96, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_1d1a7f39b5f9dcbf5a94fbed4cb6b90371df8e28_128xbfloat16_2119936x128xbfloat16_128x128xbfloat16.mlir,2119936,128,128,1,,"aten::addmm '[[128], [2119936, 128], [128, 128], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [128, 1], [1, 128], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_35f983398d59bf9d489c73c22596a949d54b41bc_1024xbfloat16_5x1024xbfloat16_1024x1024xbfloat16.mlir,5,1024,1024,1,,"aten::addmm '[[1024], [5, 1024], [1024, 1024], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [1024, 1], [1, 1024], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_4914ac71e076cc6c1c2549b3adc901cd5564dfab_384xbfloat16_5x384xbfloat16_384x384xbfloat16.mlir,5,384,384,1,,"aten::addmm '[[384], [5, 384], [384, 384], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [384, 1], [1, 384], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_741c45e06fa4305c347b2b483f42b9b6b7963aa4_128xbfloat16_3670016x128xbfloat16_128x128xbfloat16.mlir,3670016,128,128,1,,"aten::addmm '[[128], [3670016, 128], [128, 128], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [128, 1], [1, 128], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_a14492a1a96061a0bc10af622649f2bfa9d89db7_20xbfloat16_21760x3840xbfloat16_20x3840xbfloat16.mlir,21760,20,3840,1,,"aten::addmm '[[20], [21760, 3840], [3840, 20], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [3840, 1], [1, 3840], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_a18546d281e2a398f284202fcc5c7e6ad3a801f3_1024xbfloat16_16x1024xbfloat16_1024x1024xbfloat16.mlir,16,1024,1024,1,,"aten::addmm '[[1024], [16, 1024], [1024, 1024], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [1024, 1], [1, 1024], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_ebd6e4b400990d00a7fa82de4bf64507bdd41f36_1024xbfloat16_16x512xbfloat16_1024x512xbfloat16.mlir,16,1024,512,1,,"aten::addmm '[[1024], [16, 512], [512, 1024], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [512, 1], [1, 512], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
