filename,M,N,K,batch,tuning_folder_path,proxy_shapes
fused_op_bmm_1a7564bf3b08185140366688ca1b76562becba68_128x3x3xbfloat16_128x3x2304xbfloat16.mlir,3,2304,3,128,,"aten::bmm '[[128, 3, 3], [128, 3, 2304]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9, 3, 1], [6912, 2304, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_378efd9f47209329b6bbcd79ae0943c942eda305_672x3x3xbfloat16_672x3x25000xbfloat16.mlir,3,25000,3,672,,"aten::bmm '[[672, 3, 3], [672, 3, 25000]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9, 3, 1], [75000, 25000, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_729e1e9aa209f1ca56733369bb25adb8219d8326_85x3x3xbfloat16_85x3x2304xbfloat16.mlir,3,2304,3,85,,"aten::bmm '[[85, 3, 3], [85, 3, 2304]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9, 3, 1], [6912, 2304, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_da6bae89a6e2b82fee42ca200e7389032b139203_85x3x3xbfloat16_85x3x1152xbfloat16.mlir,3,1152,3,85,,"aten::bmm '[[85, 3, 3], [85, 3, 1152]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9, 3, 1], [3456, 1152, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_bmm_eefaaab8b81670695e78c37cca7ef68ef964f70b_128x3x3xbfloat16_128x3x1152xbfloat16.mlir,3,1152,3,128,,"aten::bmm '[[128, 3, 3], [128, 3, 1152]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9, 3, 1], [3456, 1152, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_314f66a213ac6c1a039cd87108ecc749b66eadc4_5x4xbfloat16_5x384xbfloat16.mlir,4,384,5,1,,"aten::mm '[[4, 5], [5, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 4], [384, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_5c9e7ea873d9b46953d3aec57a349ecb08a2be92_5x1024xbfloat16_5x1024xbfloat16.mlir,1024,1024,5,1,,"aten::mm '[[1024, 5], [5, 1024]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 1024], [1024, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_5d7f572ad1c3c5e43214bae931f5a21b7c15f0ea_5x1024xbfloat16_1024x512xbfloat16.mlir,5,512,1024,1,,"aten::mm '[[5, 1024], [1024, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1024, 1], [512, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_60df32bc4bc84f3b47640b6206a19e4b9ac8081f_5x384xbfloat16_384x384xbfloat16.mlir,5,384,384,1,,"aten::mm '[[5, 384], [384, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[384, 1], [384, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_660ea5711ba89f83ce0d70d8be3379f62ef688f7_5x4xbfloat16_4x384xbfloat16.mlir,5,384,4,1,,"aten::mm '[[5, 4], [4, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[4, 1], [384, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_90bff78c5e44d6be249ca2f0fd08f18f842949b6_5x384xbfloat16_5x384xbfloat16.mlir,384,384,5,1,,"aten::mm '[[384, 5], [5, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 384], [384, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_99dc5470e06d695c35386328396cbe0150cfcf66_5x1024xbfloat16_1024x1024xbfloat16.mlir,5,1024,1024,1,,"aten::mm '[[5, 1024], [1024, 1024]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1024, 1], [1024, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_cbfcb75c1bc6dd9a664586b0252f62df3a531b34_5x1024xbfloat16_5x512xbfloat16.mlir,1024,512,5,1,,"aten::mm '[[1024, 5], [5, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 1024], [512, 1]]' '['""'""''""'""', '""'""''""'""']'"
