missing_index,command,return_code,timed_out,mlir_count,updated_csv_rows,mlir_filenames,stderr_tail
1,"aten::mm '[[2048, 4096], [4096, 8192]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [8192, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_9474bfb9b05d11df926e982001879ff6f8416045_4096x2048xbfloat16_4096x8192xbfloat16.mlir,
2,"aten::mm '[[8192, 4096], [4096, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 8192], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_0fdb139d0976e1e45f0b6862c30603fd461efbad_4096x8192xbfloat16_4096x2048xbfloat16.mlir,
3,"aten::mm '[[6144, 4096], [4096, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 6144], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_88fff1ad50da9b51077fb3eca5249b83de877795_4096x6144xbfloat16_4096x2048xbfloat16.mlir,
4,"aten::mm '[[2048, 4096], [4096, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_fd7ec37cb7ebe8effd8c59d88b774d82c1e0fb60_4096x2048xbfloat16_4096x2048xbfloat16.mlir,
5,"aten::mm '[[512, 24576], [24576, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 512], [512, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_df7ad535eac8aab24427c7b905f3a68518a1aa87_24576x512xbfloat16_24576x512xbfloat16.mlir,
6,"aten::mm '[[24576, 1536], [1536, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1536, 1], [1, 1536]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_b7918512a176ca52ddc6edd6361ab6aeb28de685_24576x1536xbfloat16_2048x1536xbfloat16.mlir,
7,"aten::addmm '[[512], [24576, 512], [512, 512], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [512, 1], [1, 512], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'",1,0,1,1,fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_bd1b24beac540bdfac66ebdd2a23d60cd9da9854_512xbfloat16_24576x512xbfloat16_512x512xbfloat16.mlir,
8,"aten::mm '[[2048, 24576], [24576, 1536]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [1536, 1]]' '['""'""''""'""', '""'""''""'""']'",-6,0,1,1,fused_op_mm_36c13bd10c7cf5203d16246e2317b0fb842c2377_24576x2048xbfloat16_24576x1536xbfloat16.mlir,terminate called without an active exception 
9,"aten::mm '[[2048, 4112], [4112, 8192]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [8192, 1]]' '['""'""''""'""', '""'""''""'""']'",-6,0,1,1,fused_op_mm_61526b2842a4ce8bcb032dd1bdb8cfefcf663053_4112x2048xbfloat16_4112x8192xbfloat16.mlir,terminate called without an active exception 
10,"aten::mm '[[8192, 4112], [4112, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 8192], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_30fb13ca54bad673af6a17af15544e136318cef7_4112x8192xbfloat16_4112x2048xbfloat16.mlir,
11,"aten::mm '[[512, 24576], [24576, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 512], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_18c23fe92b497b139d9de32ced7c5499bd4e8a96_24576x512xbfloat16_24576x2048xbfloat16.mlir,
12,"aten::mm '[[2048, 4112], [4112, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_79d284b9b53c66d5daa286a3d25a4fb58fcf39fa_4112x2048xbfloat16_4112x2048xbfloat16.mlir,
